"HC01_1" "HC01_2" "HC01_3" "HC01_4" "HC02_1" "HC02_2" "HC03_1" "HC03_2" "HC03_3" "HC04_1" "HC04_2" "HC04_3" "HC05_1" "HC05_4" "HC06_1" "HC06_2" "HC07_1" "HC07_2" "HC08_1" "HC09_1" "HC10_1" "HC11_1"
"Firmicutes" 0.35924 0.67104 0.27633 0.26917 0.15007 0.33315 0.4431 0.51636 0.35791 0.43681 0.38258 0.2852 0.12509 0.10632 0.87518 0.69197 0.6458 0.55405 0.26963 0.47454 0.57961 0.55437
"Actinobacteria" 0.0888 0.173 0.18094 0.31629 0.08299 0.09877 0.23908 0.25517 0.18356 0.2362 0.29241 0.32366 0.77806 0.79323 0.04458 0.138 0.05121 0.18803 0.12593 0.22518 0.15848 0.19347
"Proteobacteria" 0.35737 0.08259 0.25092 0.35516 0.53458 0.41338 0.21495 0.17929 0.28571 0.22834 0.15927 0.24601 0.07006 0.06781 0.04314 0.12553 0.16358 0.20085 0.38815 0.2238 0.16507 0.1473
"Bacteroidetes" 0.18132 0.05419 0.24629 0.04749 0.22752 0.14825 0.07007 0.0238 0.06819 0.07249 0.15253 0.11248 0.00234 0.01212 0.01407 0.02906 0.12945 0.0533 0.13037 0.06472 0.07788 0.08701
"Other" 0.01327 0.01918 0.04552 0.0119 0.00484 0.00645 0.03281 0.02538 0.10463 0.02616 0.01322 0.03266 0.02445 0.02053 0.02303 0.01544 0.00996 0.00377 0.08593 0.01176 0.01895 0.01785
