"Firmicutes","Actinobacteria","Proteobacteria","Bacteroidetes","Other"
"FlareIntermittentTreatmentMean",0.5121933696,0.3169619806,0.1482930946,0.0151435462,0.007408009
"FlareIntermittentTreatmentSimMean",0.541379061296687,0.290535670417622,0.153875444558315,0.0095899344904222,0.00461988923695441
"FlareIntermittentTreatmentSD",0.266681302710069,0.140700382792195,0.166184725858983,0.0126660058293038,0.003646023024693
"FlareIntermittentTreatmentSimSD",0.256609129086213,0.170939919332405,0.134921725778843,0.0106729100191449,0.00505409643276859
