"Firmicutes","Actinobacteria","Proteobacteria","Bacteroidetes","Other"
"PostflareMean",0.488545640818182,0.269227199818182,0.165719449909091,0.0540172838181818,0.0224904256363636
"PostflareSimMean",0.506731618927857,0.263997164014449,0.1580703249569,0.0502061087521084,0.0209947833486856
"PostflareSD",0.158510888328065,0.146866881545905,0.0708970038175954,0.0326703059682901,0.0201406129301334
"PostflareSimSD",0.167770980440504,0.124435913063417,0.0679300030390349,0.027025735363164,0.0122236863261171
